album,trackindex,track,albumart_url,,,
Former Lives,3,Teardrop Windows,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,4,Bigger Than Love (feat. Aimee Mann),https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,5,Lily,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,6,Something's Rattling (Cowpoke),https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,7,"Duncan, Where Have You Gone",https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,8,"Oh, Woe",https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,9,A Hard One to Know,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,10,Lady Adelaide,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,11,Broken Yolk in Western Sky,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,12,I'm Building a Fire,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Give Up,1,The District Sleeps Alone Tonight,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,2,Such Great Heights,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,3,Sleeping In,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,4,Nothing Better ,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,5,Recycled Air,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,6,Clark Gable,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,7,We Will Become Silhouettes,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,8,This Place Is a Prison,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,9,Brand New Colony,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
Give Up,10,Natural Anthem,https://upload.wikimedia.org/wikipedia/commons/c/ce/PostalService_cover300dpi.jpg,,,
One Fast Move or I'm Gone,1,California Zephyr,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,2,Low Life Kingdom,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,3,Willamine,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,4,All in One,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,5,Breathe Our Iodine,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,6,These Roads Don't Move,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,7,Big Sur,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,8,One Fast Move or I'm Gone,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,9,Final Horrors,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,10,Sea Engines,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,11,The Void,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
One Fast Move or I'm Gone,12,San Francisco,https://upload.wikimedia.org/wikipedia/en/c/c7/OneFastMoveOrImGone.jpg,,,
